post_href,bill_of_sale_available,mortgage_available,repair_available,products_label,price,location,room_count,area,floor,city_and_added_time
/items/4623256,True,True,True,Agentlik,125 000AZN,Yasamal r.,2 otaqlı,45 m²,7/12 mərtəbə,"Bakı, bugün 22:38"
/items/4190770,True,False,False,,1 128 215AZN,Elmlər Akademiyası m.,4 otaqlı,205.1 m²,15/18 mərtəbə,"Bakı, bugün 22:37"
/items/4831223,True,False,False,,120 000AZN,Xətai r.,2 otaqlı,80.5 m²,6/15 mərtəbə,"Bakı, bugün 22:37"
/items/4190890,True,False,False,,833 195AZN,Elmlər Akademiyası m.,4 otaqlı,151.5 m²,15/18 mərtəbə,"Bakı, bugün 22:37"
/items/4836508,True,True,True,,163 000AZN,İnşaatçılar m.,3 otaqlı,80 m²,5/9 mərtəbə,"Bakı, bugün 22:50"
/items/4732828,True,True,True,,298 000AZN,Bayıl q.,3 otaqlı,110 m²,7/9 mərtəbə,"Bakı, bugün 22:36"
/items/4694618,True,True,True,,327 000AZN,8 Noyabr m.,2 otaqlı,102 m²,6/27 mərtəbə,"Bakı, bugün 22:34"
/items/4760504,True,True,True,,105 000AZN,20 Yanvar m.,2 otaqlı,46 m²,5/5 mərtəbə,"Bakı, bugün 22:34"
/items/4836509,False,False,True,,155 000AZN,Bayıl q.,2 otaqlı,63.5 m²,11/17 mərtəbə,"Bakı, bugün 22:33"
/items/4794991,True,False,True,,285 000AZN,Gənclik m.,3 otaqlı,115 m²,17/19 mərtəbə,"Bakı, bugün 22:30"
/items/4836507,True,True,True,,139 000AZN,İnşaatçılar m.,2 otaqlı,56 m²,9/12 mərtəbə,"Bakı, bugün 22:28"
/items/4326058,True,True,True,Agentlik,800 000AZN,Gənclik m.,4 otaqlı,217 m²,4/12 mərtəbə,"Bakı, bugün 22:29"
/items/4789843,True,False,True,,345 000AZN,28 May m.,3 otaqlı,100 m²,11/16 mərtəbə,"Bakı, bugün 22:28"
/items/4179611,True,False,False,Kompleks,589 950AZN,Nəriman Nərimanov m.,4 otaqlı,207 m²,11/19 mərtəbə,"Bakı, bugün 22:28"
/items/3891057,False,False,False,Kompleks,390 450AZN,Nərimanov r.,3 otaqlı,137 m²,14/19 mərtəbə,"Bakı, bugün 22:27"
/items/4836500,True,False,True,,125 000AZN,Lökbatan q.,3 otaqlı,78 m²,2/4 mərtəbə,"Bakı, bugün 22:27"
/items/3891147,False,False,False,Kompleks,615 000AZN,Nərimanov r.,4 otaqlı,217 m²,15/19 mərtəbə,"Bakı, bugün 22:27"
/items/4760051,True,False,True,Agentlik,92 000AZN,Masazır q.,2 otaqlı,63 m²,6/14 mərtəbə,"Bakı, bugün 22:27"
/items/3998452,False,False,False,,230 000AZN,Neftçilər m.,3 otaqlı,130 m²,2/17 mərtəbə,"Bakı, bugün 22:26"
/items/4836506,False,False,True,,245 000AZN,Əhmədli q.,3 otaqlı,93 m²,8/16 mərtəbə,"Bakı, bugün 22:26"
/items/4836504,True,True,True,,139 000AZN,Biləcəri q.,5 otaqlı,100 m²,5/5 mərtəbə,"Bakı, bugün 22:25"
/items/4786601,True,False,True,Agentlik,117 000AZN,Memar Əcəmi m.,2 otaqlı,50 m²,5/5 mərtəbə,"Bakı, bugün 22:24"
/items/4836501,False,False,False,,112 000AZN,7-ci mikrorayon q.,1 otaqlı,58 m²,8/16 mərtəbə,"Bakı, bugün 23:10"
/items/4326039,True,True,True,Agentlik,550 000AZN,Gənclik m.,4 otaqlı,145 m²,8/12 mərtəbə,"Bakı, bugün 22:24"
/items/4312922,False,False,True,Agentlik,217 500AZN,8 Noyabr m.,2 otaqlı,106 m²,3/16 mərtəbə,"Bakı, bugün 22:23"
/items/4658935,False,False,False,,485 000AZN,Nəriman Nərimanov m.,4 otaqlı,217 m²,7/17 mərtəbə,"Bakı, bugün 22:23"
/items/4706976,False,False,True,,550 000AZN,Qara Qarayev m.,4 otaqlı,186 m²,17/19 mərtəbə,"Bakı, bugün 22:21"
/items/4825899,True,True,True,Agentlik,235 000AZN,Qara Qarayev m.,3 otaqlı,102 m²,6/16 mərtəbə,"Bakı, bugün 22:20"
/items/4836497,True,False,True,,60 000AZN,Qara Qarayev m.,1 otaqlı,20 m²,4/5 mərtəbə,"Bakı, bugün 22:32"
/items/4758826,True,True,True,,136 000AZN,Həzi Aslanov q.,2 otaqlı,55 m²,20/20 mərtəbə,"Bakı, bugün 22:19"
/items/4716511,False,False,True,,360 000AZN,28 May m.,3 otaqlı,110 m²,4/16 mərtəbə,"Bakı, bugün 22:19"
/items/3148782,True,False,False,Agentlik,375 000AZN,Nəsimi r.,3 otaqlı,150 m²,7/16 mərtəbə,"Bakı, bugün 22:19"
/items/4794929,False,False,True,,63 500AZN,Masazır q.,2 otaqlı,50 m²,3/6 mərtəbə,"Bakı, bugün 22:18"
/items/3995948,True,False,True,Agentlik,270 000AZN,8 Noyabr m.,3 otaqlı,112 m²,2/7 mərtəbə,"Bakı, bugün 22:18"
/items/4599716,True,True,True,,265 000AZN,Nəsimi m.,3 otaqlı,135 m²,14/21 mərtəbə,"Bakı, bugün 22:18"
/items/4034832,True,False,True,Agentlik,369 000AZN,Nərimanov r.,4 otaqlı,180 m²,3/17 mərtəbə,"Bakı, bugün 22:18"
/items/4819718,False,False,True,,258 000AZN,Xalqlar Dostluğu m.,3 otaqlı,100 m²,10/17 mərtəbə,"Bakı, bugün 22:17"
/items/4318828,True,False,True,,101 500AZN,Dərnəgül m.,1 otaqlı,35 m²,2/5 mərtəbə,"Bakı, bugün 22:16"
/items/4833944,True,False,True,Agentlik,450 000AZN,Sahil m.,3 otaqlı,100 m²,7/8 mərtəbə,"Bakı, bugün 22:15"
/items/4836487,True,False,True,,185 000AZN,Nəriman Nərimanov m.,3 otaqlı,68 m²,3/5 mərtəbə,"Bakı, bugün 22:15"
/items/4627202,False,False,False,Agentlik,504 000AZN,Ağ şəhər q.,3 otaqlı,140 m²,4/8 mərtəbə,"Bakı, bugün 22:15"
/items/4607020,False,False,False,Agentlik,653 000AZN,Ağ şəhər q.,4 otaqlı,199 m²,3/8 mərtəbə,"Bakı, bugün 22:14"
/items/4814159,True,False,True,,243 000AZN,Elmlər Akademiyası m.,2 otaqlı,112 m²,6/18 mərtəbə,"Bakı, bugün 22:14"
/items/4692445,True,True,True,Agentlik,92 000AZN,Xətai r.,2 otaqlı,42 m²,1/8 mərtəbə,"Bakı, bugün 22:14"
/items/4836491,True,False,True,,105 000AZN,Hövsan q.,3 otaqlı,80 m²,7/7 mərtəbə,"Bakı, bugün 22:13"
/items/4833965,True,False,True,Agentlik,259 000AZN,Sahil m.,3 otaqlı,90 m²,2/2 mərtəbə,"Bakı, bugün 22:10"
/items/4811656,True,False,True,Agentlik,449 900AZN,Sahil m.,3 otaqlı,100 m²,5/6 mərtəbə,"Bakı, bugün 22:26"
/items/4606999,False,False,True,Agentlik,300 000AZN,Qara Qarayev m.,3 otaqlı,120 m²,15/17 mərtəbə,"Bakı, bugün 22:09"
/items/4033099,True,False,True,Agentlik,485 000AZN,28 May m.,3 otaqlı,125 m²,3/4 mərtəbə,"Bakı, bugün 22:08"
/items/4793451,False,False,True,Agentlik,260 000AZN,Qara Qarayev m.,3 otaqlı,93 m²,3/15 mərtəbə,"Bakı, bugün 22:08"
/items/4704998,False,False,True,,270 000AZN,Elmlər Akademiyası m.,3 otaqlı,80 m²,3/12 mərtəbə,"Bakı, bugün 22:07"
/items/3938295,False,False,True,Agentlik,260 000AZN,Nərimanov r.,4 otaqlı,105 m²,8/16 mərtəbə,"Bakı, bugün 22:07"
/items/4086483,False,False,False,Agentlik,824 000AZN,Şah İsmayıl Xətai m.,5 otaqlı,266 m²,3/7 mərtəbə,"Bakı, bugün 22:07"
/items/4776596,True,False,True,Agentlik,225 000AZN,Qara Qarayev m.,2 otaqlı,85 m²,3/17 mərtəbə,"Bakı, bugün 22:07"
/items/4615794,True,False,True,Agentlik,152 000AZN,Memar Əcəmi m.,3 otaqlı,100 m²,1/5 mərtəbə,"Bakı, bugün 22:07"
/items/4723605,True,True,True,Agentlik,530 000AZN,Şah İsmayıl Xətai m.,4 otaqlı,165 m²,20/21 mərtəbə,"Bakı, bugün 22:07"
/items/4733139,False,False,False,,157 000AZN,Nərimanov r.,1 otaqlı,73.6 m²,7/17 mərtəbə,"Bakı, bugün 22:07"
/items/4302854,False,False,True,Agentlik,240 000AZN,20 Yanvar m.,3 otaqlı,105 m²,10/14 mərtəbə,"Bakı, bugün 22:07"
/items/4681008,True,False,True,Agentlik,210 000AZN,Gənclik m.,3 otaqlı,90 m²,2/5 mərtəbə,"Bakı, bugün 22:06"
/items/4678383,True,True,True,Agentlik,327 000AZN,Nəriman Nərimanov m.,3 otaqlı,160 m²,8/12 mərtəbə,"Bakı, bugün 22:06"
/items/4219985,True,True,True,Agentlik,115 000AZN,Yasamal r.,1 otaqlı,40 m²,8/12 mərtəbə,"Bakı, bugün 22:06"
/items/4760329,True,True,True,Agentlik,137 000AZN,7-ci mikrorayon q.,2 otaqlı,50 m²,15/17 mərtəbə,"Bakı, bugün 22:06"
/items/4762822,False,False,True,Agentlik,264 000AZN,Azadlıq Prospekti m.,3 otaqlı,110 m²,12/19 mərtəbə,"Bakı, bugün 22:06"
/items/4753601,True,False,True,,79 000AZN,Masazır q.,3 otaqlı,70 m²,3/6 mərtəbə,"Bakı, bugün 22:06"
/items/4836486,True,False,True,,68 500AZN,Masazır q.,2 otaqlı,40 m²,7/7 mərtəbə,"Bakı, bugün 22:05"
/items/4833932,True,False,True,Agentlik,625 000AZN,28 May m.,3 otaqlı,135 m²,11/22 mərtəbə,"Bakı, bugün 22:05"
/items/4819826,False,False,False,Agentlik,399 900AZN,İçəri Şəhər m.,3 otaqlı,142 m²,5/12 mərtəbə,"Bakı, bugün 22:05"
/items/4762600,True,True,False,Agentlik,262 500AZN,8 Noyabr m.,3 otaqlı,105 m²,9/12 mərtəbə,"Bakı, bugün 22:05"
/items/4764124,False,False,False,,155 000AZN,28 May m.,2 otaqlı,57.8 m²,16/16 mərtəbə,"Bakı, bugün 22:04"
/items/4819753,True,False,True,,142 000AZN,İnşaatçılar m.,2 otaqlı,65 m²,4/9 mərtəbə,"Bakı, bugün 22:04"
