post_id,bill_of_sale_available,mortgage_available,repair_available,products_label,price,location,room_count,area,floor_number,total_floors,region,added_time
3510376,True,False,True,default,75000,Masazır q.,3,83.0,5,5,Bakı,2024-12-14 23:59:00
4800060,True,False,True,default,379000,Gənclik m.,3,140.0,14,16,Bakı,2024-12-14 23:58:00
4836577,True,False,True,default,174000,Memar Əcəmi m.,2,57.0,13,18,Bakı,2024-12-14 23:58:00
4746104,True,False,True,Agentlik,225000,Həzi Aslanov m.,3,130.0,19,19,Bakı,2024-12-14 23:58:00
4800062,False,False,True,default,199000,Nəriman Nərimanov m.,2,55.0,4,15,Bakı,2024-12-14 23:58:00
4802502,False,False,True,default,175000,Nəriman Nərimanov m.,2,55.0,9,15,Bakı,2024-12-14 23:57:00
4587740,True,False,True,Agentlik,299000,Xətai r.,4,140.0,4,18,Bakı,2024-12-14 23:57:00
4800061,True,False,True,default,218000,Nəriman Nərimanov m.,2,68.0,14,14,Bakı,2024-12-14 23:57:00
4782944,True,True,False,Agentlik,88000,Hövsan q.,2,50.0,6,9,Bakı,2024-12-14 23:56:00
4821898,True,True,True,Agentlik,93000,Hövsan q.,2,50.0,7,9,Bakı,2024-12-14 23:56:00
4709671,True,True,True,Agentlik,90000,Hövsan q.,3,80.0,7,7,Bakı,2024-12-14 23:55:00
4836574,True,True,False,Agentlik,218000,Nəriman Nərimanov m.,2,95.0,3,18,Bakı,2024-12-14 23:55:00
4836573,False,False,True,default,325000,Nəsimi r.,3,110.0,11,16,Bakı,2024-12-14 23:55:00
4831033,True,False,True,Agentlik,98500,20 Yanvar m.,1,33.0,3,5,Bakı,2024-12-14 23:53:00
4501032,True,True,True,default,240000,Nəriman Nərimanov m.,3,90.0,9,19,Bakı,2024-12-14 23:53:00
4831083,True,False,True,Agentlik,128000,Memar Əcəmi m.,2,50.0,2,5,Bakı,2024-12-14 23:52:00
4831023,True,False,True,Agentlik,101500,Memar Əcəmi m.,1,33.0,4,5,Bakı,2024-12-14 23:52:00
4787910,True,False,True,Agentlik,102000,Memar Əcəmi m.,1,34.0,4,5,Bakı,2024-12-14 23:52:00
4488791,True,True,True,default,325000,Elmlər Akademiyası m.,3,131.0,13,18,Bakı,2024-12-14 23:50:00
4836567,True,False,True,default,160000,Neftçilər m.,3,85.0,9,9,Bakı,2024-12-14 23:48:00
4820068,True,True,True,default,220000,Nəsimi r.,3,80.0,1,5,Bakı,2024-12-14 23:48:00
3896250,True,False,True,default,340000,Nəriman Nərimanov m.,5,200.0,14,15,Bakı,2024-12-14 23:48:00
4831439,True,True,True,Agentlik,230000,İnşaatçılar m.,3,98.0,5,16,Bakı,2024-12-14 23:46:00
4777529,False,False,False,Agentlik,106000,Biləcəri q.,2,70.0,4,16,Bakı,2024-12-14 23:46:00
4822002,True,False,True,default,387000,Nərimanov r.,3,130.0,6,17,Bakı,2024-12-14 23:43:00
4460085,True,False,True,Agentlik,314900,Sabunçu r.,3,133.0,11,20,Bakı,2024-12-14 23:42:00
4836563,False,False,True,default,455000,Nəriman Nərimanov m.,3,120.0,16,17,Bakı,2024-12-14 23:47:00
4836562,True,True,True,default,335000,Nərimanov r.,3,150.0,5,14,Bakı,2024-12-14 23:39:00
